TID,Transactions
Tran1,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Tran2,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
Tran3,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Tran4,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
Tran5,"Android Programming: The Big Nerd Ranch, Beginning Programming with Java, Java 8 Pocket Guide"
Tran6,"A Beginner’s Guide, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Tran7,"A Beginner’s Guide, Head First Java 2nd Edition, Beginning Programming with Java"
Tran8,"Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Tran9,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition, Beginning Programming with Java"
Tran10,"Beginning Programming with Java, Java 8 Pocket Guide, C++ Programming in Easy Steps"
Tran11,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Tran12,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, HTML and CSS: Design and Build Websites"
Tran13,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Java 8 Pocket Guide, HTML and CSS: Design and Build Websites"
Tran14,"Java For Dummies, Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Tran15,"Java For Dummies, Android Programming: The Big Nerd Ranch"
Tran16,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Tran17,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies, Android Programming: The Big Nerd Ranch"
Tran18,"Head First Java 2nd Edition, Beginning Programming with Java, Java 8 Pocket Guide"
Tran19,"Android Programming: The Big Nerd Ranch, Head First Java 2nd Edition"
Tran20,"A Beginner’s Guide, Java: The Complete Reference, Java For Dummies"
