TID,Transactions
Tran1,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Tran2,"Running Shoe, Socks, Sweatshirts"
Tran3,"Running Shoe, Socks, Sweatshirts, Modern Pants"
Tran4,"Running Shoe, Sweatshirts, Modern Pants"
Tran5,"Running Shoe, Socks, Sweatshirts, Modern Pants, Soccer Shoe"
Tran6,"Running Shoe, Socks, Sweatshirts"
Tran7,"Running Shoe, Socks, Sweatshirts, Modern Pants, Tech Pants, Rash Guard, Hoodies"
Tran8,"Swimming Shirt, Socks, Sweatshirts"
Tran9,"Swimming Shirt, Rash Guard, Dry Fit V-Nick, Hoodies, Tech Pants"
Tran10,"Swimming Shirt, Rash Guard, Dry"
Tran11,"Swimming Shirt, Rash Guard, Dry Fit V-Nick"
Tran12,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Hoodies, Tech Pants, Dry Fit V-Nick"
Tran13,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Rash Guard, Tech Pants, Dry Fit V-Nick, Hoodies"
Tran14,"Running Shoe, Swimming Shirt, Rash Guard, Tech Pants, Hoodies, Dry Fit V-Nick"
Tran15,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Dry Fit V-Nick, Rash Guard, Tech Pants"
Tran16,"Swimming Shirt, Soccer Shoe, Hoodies, Dry Fit V-Nick, Tech Pants, Rash Guard"
Tran17,"Running Shoe, Socks"
Tran18,"Socks, Sweatshirts, Modern Pants, Soccer Shoe, Hoodies, Rash Guard, Tech Pants, Dry Fit V-Nick"
Tran19,"Running Shoe, Swimming Shirt, Rash Guard"
Tran20,"Running Shoe, Swimming Shirt, Socks, Sweatshirts, Modern Pants, Soccer Shoe, Hoodies, Tech Pants, Rash Guard, Dry Fit V-Nick"
